path,file,intent,auth_gate,entitlement_gate,priority,status,notes
/api/notifications/subscribe,src/app/api/notifications/subscribe/route.ts,api,verify,—,—,VERIFY,
/api/notifications/test,src/app/api/notifications/test/route.ts,api,verify,—,—,VERIFY,
/api/notifications/unsubscribe,src/app/api/notifications/unsubscribe/route.ts,api,verify,—,—,VERIFY,
/api/auth/callback,src/app/api/auth/callback/route.ts,api,OAuth-token,n/a,—,VERIFY,Confirm next param validation
/api/auth/signup,src/app/api/auth/signup/route.ts,api,none(public),n/a,—,VERIFY,Verify rate-limit
/api/auth/confirm-email,src/app/api/auth/confirm-email/route.ts,api,verify,n/a,—,VERIFY,
/api/profile,src/app/api/profile/route.ts,api,verify(PII),n/a,—,VERIFY,
/api/profile/counselor,src/app/api/profile/counselor/route.ts,api,verify,n/a,—,VERIFY,
/api/family-profiles,src/app/api/family-profiles/route.ts,api,verify,n/a,—,VERIFY,
/api/readings,src/app/api/readings/route.ts,api,verify,n/a,—,VERIFY,
/api/subscription/manage,src/app/api/subscription/manage/route.ts,api,verify,getManagedSubscription,—,VERIFY,
/api/classics/evidence,src/app/api/classics/evidence/route.ts,api,verify,—,—,VERIFY,
/api/geo/birth-location,src/app/api/geo/birth-location/route.ts,api,verify,—,—,VERIFY,
/api/verification/classics,src/app/api/verification/classics/route.ts,api,requireVerificationApiAccess,—,—,VERIFY,Admin-only
/api/verification/lifetime,src/app/api/verification/lifetime/route.ts,api,requireVerificationApiAccess,—,—,VERIFY,Admin-only
/api/verification/profile-linkage,src/app/api/verification/profile-linkage/route.ts,api,requireVerificationApiAccess,—,—,VERIFY,Admin-only
/api/verification/saju,src/app/api/verification/saju/route.ts,api,requireVerificationApiAccess,—,—,VERIFY,Admin-only
/api/verification/today-fortune,src/app/api/verification/today-fortune/route.ts,api,requireVerificationApiAccess,—,—,VERIFY,Admin-only
/api/verification/yearly,src/app/api/verification/yearly/route.ts,api,requireVerificationApiAccess,—,—,VERIFY,Admin-only
